classification_mode,rt_rule,lipid_subclass,unsaturation,fit_type,fit_parameters,fit_r_squared,raw_point_count,distinct_carbon_count,representative_point_count,inlier_count,carbon_min,carbon_max,fit_equation,iup_vertical_shift_min,parallelism_passed,parallelism_reference_unsaturation,median_absolute_slope_difference,median_relative_slope_difference,parallelism_note
detailed_chain,ECN,Cer(m14:2/x:y),0.0,Linear,"[0.4229857142857144, -0.5554285714285747]",0.9996386870296116,4,4,4,3,20.0,30.0,y = 0.422986 * x + -0.555429,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m14:4/x:y),4.0,Quadratic,"[0.062040488757139675, -2.5664623671462614, 32.33424907815771]",0.9998202080524754,5,5,5,4,21.0,34.0,y = 0.0620405 * x^2 + -2.56646 * x + 32.3342,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m15:0/x:y),0.0,Linear,"[0.41968421052631566, 0.8039122807017591]",0.9993691716822196,3,3,3,3,19.0,27.0,y = 0.419684 * x + 0.803912,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m15:1/x:y),1.0,Linear,"[0.39874999999999966, 0.5449500000000089]",0.999354715459168,4,4,4,3,25.0,29.0,y = 0.39875 * x + 0.54495,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m15:4/x:y),4.0,Quadratic,"[0.06240414196370465, -2.4588230559973936, 30.013849956619147]",0.9998181549792188,6,5,5,4,20.0,33.0,y = 0.0624041 * x^2 + -2.45882 * x + 30.0138,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m16:0/x:y),0.0,Linear,"[0.37981927710843366, 2.257180722891569]",0.9986255295928688,8,4,4,4,18.0,24.0,y = 0.379819 * x + 2.25718,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m16:1/x:y),1.0,Quadratic,"[0.010369382022471929, -0.12191095505618044, 6.54889719101124]",0.999979451416074,25,7,7,4,17.0,26.0,y = 0.0103694 * x^2 + -0.121911 * x + 6.5489,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m16:2/x:y),0.0,Linear,"[0.42540094339622636, 0.24637971698113326]",0.9995350261473394,42,11,11,8,17.0,28.0,y = 0.425401 * x + 0.24638,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m16:2/x:y),1.0,Linear,"[0.398, -0.7124999999999986]",0.9990055132328232,12,3,3,3,22.0,26.0,y = 0.398 * x + -0.7125,0.0,True,0.0,0.0274009433962263,0.0644120419138436,通过
detailed_chain,ECN,Cer(m16:4/x:y),4.0,Linear,"[0.22876923076923125, 1.4032307692307615]",0.9982930764004918,6,6,6,3,16.0,20.0,y = 0.228769 * x + 1.40323,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m17:0/x:y),0.0,Linear,"[0.3831008064516128, 2.5737258064516126]",0.9994942537264154,9,7,7,7,16.0,25.0,y = 0.383101 * x + 2.57373,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m17:0/x:y),2.0,Linear,"[0.4689230769230769, -1.2989999999999995]",0.9996796879293676,8,5,5,3,17.0,25.0,y = 0.468923 * x + -1.299,0.0,True,0.0,0.085822270471464,0.1830199337482009,通过
detailed_chain,ECN,Cer(m17:1/x:y),1.0,Quadratic,"[0.03721230407523506, -1.2140312225705305, 17.76489006269589]",0.9986955112060044,83,10,10,6,18.0,27.0,y = 0.0372123 * x^2 + -1.21403 * x + 17.7649,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m17:1/x:y),2.0,Linear,"[0.3845693877551021, 0.022559183673468652]",0.9978940520191508,47,8,8,6,19.0,27.0,y = 0.384569 * x + 0.0225592,0.0,False,1.0,0.1507333835958888,0.3028387692170057,相邻不饱和度曲线斜率差超过阈值
detailed_chain,ECN,Cer(m17:2/x:y),0.0,Linear,"[0.4208790983606556, 0.775616803278691]",0.999420559983476,45,12,12,6,16.0,27.0,y = 0.420879 * x + 0.775617,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m17:2/x:y),1.0,Linear,"[0.33506567796610215, 1.191381355932192]",0.9961620367791344,38,8,8,5,17.0,25.0,y = 0.335066 * x + 1.19138,0.0,True,0.0,0.0858134203945534,0.2038909053188929,通过
detailed_chain,ECN,Cer(m17:4/x:y),4.0,Quadratic,"[0.06204048875713967, -2.1942194346034225, 25.193226375533172]",0.9998202080524754,5,5,5,4,18.0,31.0,y = 0.0620405 * x^2 + -2.19422 * x + 25.1932,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m18:0/x:y),0.0,Linear,"[0.38280601092896177, 2.962150273224043]",0.9996056706225646,15,9,9,8,15.0,25.0,y = 0.382806 * x + 2.96215,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m18:0/x:y),1.0,Linear,"[0.39649038461538466, 2.055365384615383]",0.9999153862899812,3,3,3,3,16.0,24.0,y = 0.39649 * x + 2.05537,0.0,True,0.0,0.0136843736864228,0.0345137592673209,通过
detailed_chain,ECN,Cer(m18:0/x:y),2.0,Linear,"[0.3991999999999997, 1.746300000000005]",0.9997987361028786,12,6,6,5,22.0,26.0,y = 0.3992 * x + 1.7463,0.0,True,1.0,0.002709615384615,0.0067876136889154,通过
detailed_chain,ECN,Cer(m18:1/x:y),0.0,Linear,"[0.39649038461538466, 2.055365384615383]",0.9999153862899812,3,3,3,3,16.0,24.0,y = 0.39649 * x + 2.05537,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m18:1/x:y),1.0,Linear,"[0.42236163522012576, 1.1672594339622648]",0.9994762297456156,50,11,11,8,16.0,26.0,y = 0.422362 * x + 1.16726,0.0,True,0.0,0.0258712506047411,0.0612537892823943,通过
detailed_chain,ECN,Cer(m18:2/x:y),0.0,Linear,"[0.4198861386138614, 1.2066138613861384]",0.9996534640233068,104,12,12,5,15.0,26.0,y = 0.419886 * x + 1.20661,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m18:2/x:y),1.0,Quadratic,"[0.008492456479690446, -0.006640618955509596, 4.8911001934235685]",0.999785002919346,72,11,11,6,16.0,26.0,y = 0.00849246 * x^2 + -0.00664062 * x + 4.8911,0.0,True,0.0,0.0698435854223722,0.1663393453590577,通过
detailed_chain,ECN,Cer(m18:2/x:y),2.0,Quadratic,"[-0.007866367403314927, 0.7076602209944757, -3.195448895027633]",0.9997611368873218,11,6,6,4,16.0,26.0,y = -0.00786637 * x^2 + 0.70766 * x + -3.19545,0.0,True,1.0,0.0828294880152171,0.2042608941103883,通过
detailed_chain,ECN,Cer(m18:2/x:y),3.0,Linear,"[0.446, 3.096]",0.9991425846126336,7,7,7,4,19.0,25.0,y = 0.446 * x + 3.096,0.0,True,2.0,0.0844599447513811,0.18937207343359,通过
detailed_chain,ECN,Cer(m18:3/x:y),0.0,Quadratic,"[0.009305899419729183, -0.03931054158607259, 5.19446266924564]",0.9997361159993418,63,10,10,6,16.0,26.0,y = 0.0093059 * x^2 + -0.0393105 * x + 5.19446,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m18:3/x:y),1.0,Linear,"[0.37682142857142864, 0.07492857142857012]",0.9997465061821886,11,5,5,3,16.0,26.0,y = 0.376821 * x + 0.0749286,0.0,True,0.0,0.0471184780745781,0.1250419283563821,通过
detailed_chain,ECN,Cer(m18:4/x:y),4.0,Quadratic,"[0.062040488757139675, -2.0701384570891435, 23.061047429686887]",0.9998202080524754,5,5,5,4,17.0,30.0,y = 0.0620405 * x^2 + -2.07014 * x + 23.061,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m19:0/x:y),0.0,Linear,"[0.38380000000000036, 3.3293999999999926]",0.9991700175275802,8,6,6,5,20.0,24.0,y = 0.3838 * x + 3.3294,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m19:1/x:y),1.0,Linear,"[0.4073389830508476, 1.8991016949152524]",0.9973622024236456,13,6,6,6,18.0,25.0,y = 0.407339 * x + 1.8991,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m19:2/x:y),0.0,Linear,"[0.4240033783783785, 1.5438749999999963]",0.9993536963488504,43,10,10,9,16.0,25.0,y = 0.424003 * x + 1.54387,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m19:2/x:y),1.0,Linear,"[0.4674285714285714, -0.17659523809523847]",0.9997161194792656,9,4,4,3,19.0,24.0,y = 0.467429 * x + -0.176595,0.0,True,0.0,0.0434251930501929,0.0929023078702171,通过
detailed_chain,ECN,Cer(m19:4/x:y),4.0,Quadratic,"[0.016906237068370963, -0.28960525771299844, 6.076061244195136]",0.9996900841488844,7,6,6,5,12.0,29.0,y = 0.0169062 * x^2 + -0.289605 * x + 6.07606,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m20:0/x:y),0.0,Linear,"[0.41655625, 3.002643749999999]",0.9982708688930224,8,7,7,6,14.0,23.0,y = 0.416556 * x + 3.00264,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m20:1/x:y),1.0,Linear,"[0.3995192307692306, 2.5309038461538496]",0.9999883157234164,8,4,4,3,20.0,24.0,y = 0.399519 * x + 2.5309,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m20:2/x:y),0.0,Linear,"[0.4186406250000001, 2.0781874999999967]",0.999499055058874,54,11,11,6,15.0,24.0,y = 0.418641 * x + 2.07819,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m20:3/x:y),0.0,Linear,"[0.29099999999999987, 3.4703333333333335]",0.9999408968657688,19,8,8,3,16.0,24.0,y = 0.291 * x + 3.47033,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m20:4/x:y),4.0,Quadratic,"[0.021524999999999912, -0.3951164634146316, 6.809042682926813]",0.9999958198098394,6,6,6,4,11.0,20.0,y = 0.021525 * x^2 + -0.395116 * x + 6.80904,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m21:0/x:y),0.0,Linear,"[0.39290000000000025, 3.929699999999994]",0.9997633526211094,6,5,5,4,18.0,21.0,y = 0.3929 * x + 3.9297,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m21:0/x:y),2.0,Linear,"[0.4090769230769233, 2.6897884615384564]",0.9993379163564527,6,6,6,4,16.0,23.0,y = 0.409077 * x + 2.68979,0.0,True,0.0,0.016176923076923,0.0395449417074086,通过
detailed_chain,ECN,Cer(m21:2/x:y),0.0,Linear,"[0.4187105263157892, 2.4952631578947404]",0.9994924877511596,8,4,4,3,17.0,22.0,y = 0.418711 * x + 2.49526,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m21:4/x:y),4.0,Quadratic,"[0.02152499999999991, -0.35206646341463155, 6.435451219512178]",0.9999958198098394,6,6,6,4,10.0,19.0,y = 0.021525 * x^2 + -0.352066 * x + 6.43545,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m22:2/x:y),0.0,Linear,"[0.537142857142857, 0.27638095238095417]",0.9994519695736336,8,6,6,3,12.0,22.0,y = 0.537143 * x + 0.276381,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m22:4/x:y),4.0,Quadratic,"[0.04632296313688646, -0.9536421930030474, 10.277257806996907]",0.9999937451075614,6,6,6,4,12.0,26.0,y = 0.046323 * x^2 + -0.953642 * x + 10.2773,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
