classification_mode,rt_rule,score_tier,analysis_scope,result_id,hilic_fraction_min,lipid_subclass,lipid_annotation,ms1_feature_id,candidate_rank,match_score,normalized_rt_min,carbon_number,unsaturation,fit_type,fit_r_squared,absolute_rt_residual_min,iup_vertical_shift_min,fit_status,retention_reason
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR6_0000047,0-5,Cer(d14:3/x:y)(2OH),Cer(d14:3/10:1)(2OH),F000225,1,0.5,5.192,10.0,1.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005670,0-5,So(mx:y),So(m18:1),F000232,1,1.0,5.267,18.0,1.0,Linear,0.995186425906226,0.0096413043478253,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005665,0-5,So(dx:y),So(d24:5),F000245,1,0.67,5.395,24.0,5.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR000003,0-5,-linoleoyloxy-DHCer(d17:0/x:y),-linoleoyloxy-DHCer(d17:0/12:3),F000249,2,0.5,5.406000000000001,12.0,3.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR000004,0-5,-linoleoyloxy-DHCer(d17:1/x:y),-linoleoyloxy-DHCer(d17:1/12:2),F000249,3,0.5,5.406000000000001,12.0,2.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR000005,0-5,-linoleoyloxy-DHCer(d18:0/x:y),-linoleoyloxy-DHCer(d18:0/11:3),F000249,1,0.5,5.406000000000001,11.0,3.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005673,0-5,So(mx:y),So(m19:1),F000253,1,1.0,5.445,19.0,1.0,Linear,0.995186425906226,0.0295652173913048,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR6_0000057,0-5,Sa(dx:y),Sa(d25:0),F000262,1,0.67,5.489000000000001,25.0,0.0,Linear,0.99893141896312,0.010491017964072,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005674,0-5,So(mx:y),So(m20:1),F000266,1,1.0,5.539,20.0,1.0,Linear,0.995186425906226,0.1527717391304355,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR000074,0-5,Cer(d14:4/x:y)(2OH),Cer(d14:4/22:4)(2OH),F000272,1,0.67,5.589,22.0,4.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR000133,0-5,Cer(d15:4/x:y)(2OH),Cer(d15:4/21:4)(2OH),F000272,3,0.5,5.589,21.0,4.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR000227,0-5,Cer(d16:4/x:y)(2OH),Cer(d16:4/20:4)(2OH),F000272,2,0.5,5.589,20.0,4.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR000012,0-5,CAEP(d19:4/x:y),CAEP(d19:4/19:3),F000281,1,0.5,5.695,19.0,3.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR000002,0-5,-linoleoyloxy-DHCer(d15:4/x:y),-linoleoyloxy-DHCer(d15:4/11:4),F000282,1,0.5,5.695,11.0,4.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005675,0-5,So(mx:y),So(m20:1),F000288,1,1.0,5.788999999999999,20.0,1.0,Linear,0.995186425906226,0.0972282608695636,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR001301,0-5,Cer(m16:0/x:y),Cer(m16:0/18:1),F000322,1,0.5,6.017,18.0,1.0,,,,0.0,拟合通过,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003195,0-5,GlcCer(m17:2/x:y),GlcCer(m17:2/19:1),F000328,3,0.67,6.084,19.0,1.0,Linear,0.9997846953359912,0.0098333333333355,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003395,0-5,GlcCer(m20:0/x:y),GlcCer(m20:0/16:3),F000328,3,0.67,6.084,16.0,3.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR001288,0-5,Cer(m15:4/x:y),Cer(m15:4/19:0),F000333,2,0.5,6.111000000000001,19.0,0.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR001362,0-5,Cer(m16:2/x:y),Cer(m16:2/18:2),F000333,2,0.5,6.111000000000001,18.0,2.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR001716,0-5,Cer(m18:2/x:y),Cer(m18:2/16:2),F000333,1,0.5,6.111000000000001,16.0,2.0,Quadratic,0.9997611368873218,0.002324585635355,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR001771,0-5,Cer(m18:3/x:y),Cer(m18:3/16:1),F000333,1,0.5,6.111000000000001,16.0,1.0,Linear,0.9997465061821886,0.0069285714285722,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002032,0-5,Cer(m23:3/x:y),Cer(m23:3/11:1),F000333,3,0.5,6.111000000000001,11.0,1.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR004161,0-5,N-methylSo(d15:1/x:y),N-methylSo(d15:1/15:0),F000336,1,0.5,6.156000000000001,15.0,0.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR6_0000103,0-5,GlcCer(m16:2/x:y),GlcCer(m16:2/16:0),F000346,1,0.67,6.356,16.0,0.0,Linear,0.9980320377661572,0.0323188153310116,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003128,0-5,GlcCer(m17:1/x:y),GlcCer(m17:1/15:1),F000346,3,0.5,6.355999999999999,15.0,1.0,Linear,0.9992370322919712,0.0735608486789427,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR6_0000105,0-5,GlcCer(m18:2/x:y),GlcCer(m18:2/14:0),F000346,1,0.67,6.356,14.0,0.0,Linear,0.9994274159726638,0.0795206185566996,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR6_0000112,0-5,GlcCer(m16:2/x:y),GlcCer(m16:2/16:0),F000359,1,0.5,6.494999999999999,16.0,0.0,Linear,0.9980320377661572,0.171318815331011,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003428,0-5,GlcCer(m21:1/x:y),GlcCer(m21:1/11:1),F000359,3,0.5,6.494999999999999,11.0,1.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002611,0-5,GlcCer(d18:0/x:y),GlcCer(d18:0/18:1),F000364,1,0.5,6.506,18.0,1.0,Quadratic,0.9975999125156748,0.0085849230062109,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002956,0-5,GlcCer(d23:0/x:y),GlcCer(d23:0/13:1),F000364,2,0.5,6.506,13.0,1.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR001325,0-5,Cer(m16:1/x:y),Cer(m16:1/18:2),F000368,2,0.75,6.545,18.0,2.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR001437,0-5,Cer(m17:1/x:y),Cer(m17:1/17:2),F000368,2,0.5,6.545,17.0,2.0,Linear,0.9978940520191508,0.0152387755102036,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003337,0-5,GlcCer(m18:3/x:y),GlcCer(m18:3/16:0),F000369,1,0.67,6.545,16.0,0.0,Quadratic,0.9999599633521016,0.0035234899328866,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003403,0-5,GlcCer(m20:1/x:y),GlcCer(m20:1/18:2),F000376,3,0.5,6.606,18.0,2.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003422,0-5,GlcCer(m20:3/x:y),GlcCer(m20:3/18:0),F000376,3,0.67,6.605999999999999,18.0,0.0,Linear,0.9999480637392568,0.0015000000000009,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003924,0-5,LacCer(d15:3/x:y),LacCer(d15:3/21:1),F000378,1,0.5,6.628,21.0,1.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR004066,0-5,LacCer(m16:1/x:y),LacCer(m16:1/18:1),F000381,2,0.62,6.65,18.0,1.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR004112,0-5,LacCer(m18:2/x:y),LacCer(m18:2/16:0),F000381,1,0.75,6.65,16.0,0.0,Linear,0.9997007223938634,0.0024615384615369,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003100,0-5,GlcCer(m16:1/x:y),GlcCer(m16:1/17:1),F000382,3,0.5,6.656000000000001,17.0,1.0,Linear,0.9998436144445744,0.0207600000000027,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003184,0-5,GlcCer(m17:2/x:y),GlcCer(m17:2/16:0),F000382,1,0.5,6.656000000000001,16.0,0.0,Linear,0.9999265002639356,0.0050000000000007,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003267,0-5,GlcCer(m18:2/x:y),GlcCer(m18:2/15:0),F000382,2,0.5,6.656000000000001,15.0,0.0,Linear,0.9994274159726638,0.0265658648339073,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003949,0-5,LacCer(d17:0/x:y),LacCer(d17:0/17:1),F000383,2,0.5,6.656000000000001,17.0,1.0,,,,0.0,拟合通过,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003220,0-5,GlcCer(m18:0/x:y),GlcCer(m18:0/22:4),F000400,3,0.5,6.834,22.0,4.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003396,0-5,GlcCer(m20:0/x:y),GlcCer(m20:0/20:4),F000400,2,0.5,6.834,20.0,4.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003426,0-5,GlcCer(m20:3/x:y),GlcCer(m20:3/20:1),F000400,3,0.5,6.834,20.0,1.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002453,0-5,GlcCer(d16:0/x:y),GlcCer(d16:0/18:2),F000401,2,0.5,6.867000000000001,18.0,2.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002470,0-5,GlcCer(d16:1/x:y),GlcCer(d16:1/18:1),F000401,1,0.75,6.867000000000002,18.0,1.0,Linear,0.9993725280366398,0.0229000000000008,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002528,0-5,GlcCer(d17:0/x:y),GlcCer(d17:0/17:2),F000401,3,0.5,6.867000000000001,17.0,2.0,Linear,0.9969254404960268,0.017920168067226,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002665,0-5,GlcCer(d18:1/x:y),GlcCer(d18:1/16:1),F000401,1,0.75,6.867000000000002,16.0,1.0,Linear,0.9995581507976332,0.0441597826086974,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002861,0-5,GlcCer(d20:2/x:y),GlcCer(d20:2/14:0),F000401,3,0.5,6.867000000000002,14.0,0.0,Linear,0.9985268327956236,0.0115919732441458,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR001788,0-5,Cer(m18:4/x:y),Cer(m18:4/18:1),F000418,2,0.5,7.006,18.0,1.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002072,0-5,Cer(m26:1/x:y),Cer(m26:1/10:4),F000418,3,0.75,7.006,10.0,4.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003101,0-5,GlcCer(m16:1/x:y),GlcCer(m16:1/18:1),F000420,2,0.5,7.028,18.0,1.0,Linear,0.9998436144445744,0.0196799999999992,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003110,0-5,GlcCer(m16:2/x:y),GlcCer(m16:2/18:0),F000420,3,0.67,7.028,18.0,0.0,Linear,0.9980320377661572,0.0971445993031352,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003132,0-5,GlcCer(m17:1/x:y),GlcCer(m17:1/17:1),F000420,2,0.83,7.028,17.0,1.0,Linear,0.9992370322919712,0.0664703763010408,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003223,0-5,GlcCer(m18:1/x:y),GlcCer(m18:1/16:1),F000420,3,0.5,7.028,16.0,1.0,Linear,0.9993844397262608,0.0866995277449822,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003270,0-5,GlcCer(m18:2/x:y),GlcCer(m18:2/16:0),F000420,1,1.0,7.028,16.0,0.0,Linear,0.9994274159726638,0.0606523482245151,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR004160,0-5,"N,N-dimethylSo(d15:0/x:y)","N,N-dimethylSo(d15:0/15:3)",F000422,3,0.5,7.039,15.0,3.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR004159,0-5,"N,N-dimethylSo(d16:0/x:y)","N,N-dimethylSo(d16:0/14:3)",F000422,3,0.5,7.039,14.0,3.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR004158,0-5,"N,N-dimethylSo(d16:1/x:y)","N,N-dimethylSo(d16:1/14:2)",F000422,2,0.67,7.038999999999999,14.0,2.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR004157,0-5,"N,N-dimethylSo(d18:1/x:y)","N,N-dimethylSo(d18:1/12:2)",F000422,1,0.67,7.039,12.0,2.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002161,0-5,DHCerP(d18:0/x:y),DHCerP(d18:0/22:1),F000423,2,0.5,7.039,22.0,1.0,Linear,0.9999249528523536,0.0136500000000019,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002177,0-5,DHCerP(d18:1/x:y),DHCerP(d18:1/22:0),F000423,1,0.5,7.038999999999999,22.0,0.0,Linear,0.9999249528523536,0.013650000000001,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002202,0-5,DHCerP(d18:1/x:y),DHCerP(d18:1/24:4),F000425,2,0.5,7.045,24.0,4.0,Linear,0.9999986260989392,0.0010350877192966,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002705,0-5,GlcCer(d18:1/x:y),GlcCer(d18:1/18:3),F000425,1,0.88,7.045000000000001,18.0,3.0,Linear,0.9999539106052572,0.0049924812030077,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002751,0-5,GlcCer(d18:2/x:y),GlcCer(d18:2/18:2),F000425,1,0.88,7.045000000000001,18.0,2.0,Linear,0.9977323849004168,0.0163947368421037,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR000549,0-5,Cer(d18:1/x:y),Cer(d18:1/14:0),F000427,1,0.5,7.055999999999999,14.0,0.0,Linear,0.9999495982946304,0.0015242130750614,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR000608,0-5,Cer(d18:1/x:y),Cer(d18:1/18:2),F000429,1,0.83,7.067,18.0,2.0,Linear,0.9998537814163196,0.1171071428571455,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR000687,0-5,Cer(d18:2/x:y),Cer(d18:2/18:1),F000429,1,0.5,7.067,18.0,1.0,Linear,0.9995690520075204,0.143364285714286,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002592,0-5,GlcCer(d17:1/x:y),GlcCer(d17:1/21:4),F000439,3,0.62,7.25,21.0,4.0,Linear,0.9997224210471152,0.0098201438848928,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002710,0-5,GlcCer(d18:1/x:y),GlcCer(d18:1/20:4),F000439,1,0.62,7.25,20.0,4.0,Linear,0.9987715120595744,0.0137083333333354,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002755,0-5,GlcCer(d18:2/x:y),GlcCer(d18:2/20:3),F000439,1,0.62,7.25,20.0,3.0,Linear,0.99899002736861,0.0022876712328754,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002815,0-5,GlcCer(d19:3/x:y),GlcCer(d19:3/19:2),F000439,2,0.5,7.25,19.0,2.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002876,0-5,GlcCer(d20:2/x:y),GlcCer(d20:2/18:3),F000439,2,0.5,7.25,18.0,3.0,Linear,0.9992329214266829,0.0312083333333337,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR002948,0-5,GlcCer(d22:4/x:y),GlcCer(d22:4/16:1),F000439,2,0.5,7.25,16.0,1.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003009,0-5,GlcCer(d24:3/x:y),GlcCer(d24:3/14:2),F000439,3,0.5,7.25,14.0,2.0,Linear,0.9992717572710668,0.0249999999999985,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR6_0000299,0-5,Cer(m16:1/x:y),Cer(m16:1/18:2),F000442,3,0.5,7.375,18.0,2.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR000885,0-5,Cer(d20:1/x:y),Cer(d20:1/14:1),F000443,3,0.5,7.289,14.0,1.0,Linear,0.9965166736053904,0.0254089506172841,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR003161,0-5,GlcCer(m17:1/x:y),GlcCer(m17:1/19:2),F000444,3,0.5,7.300000000000001,19.0,2.0,Linear,0.9993862954269036,0.0178355263157881,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR6_0000315,0-5,Cer(m17:1/x:y),Cer(m17:1/19:2),F000445,3,0.75,7.305999999999999,19.0,2.0,Linear,0.9978940520191508,0.0233775510204088,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR6_0000317,0-5,Cer(m18:1/x:y),Cer(m18:1/18:2),F000445,3,1.0,7.305999999999999,18.0,2.0,Linear,0.9999122193319636,0.0828928571428573,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR6_0000319,0-5,Cer(m18:3/x:y),Cer(m18:3/18:0),F000445,1,1.0,7.305999999999999,18.0,0.0,Quadratic,0.9997361159993418,0.1959843326885897,0.0,拟合通过,ECN拟合通过且在0.2min内
