lipid_class,annotation,scoring_policy,precursor_pass,precursor_error_ppm,precursor_adduct,precursor_source,hg_pass,lcb_pass,nl_pass,S_HG,S_LCB,S_NL,S_Supp,S_primary,S_secondary,S_supp,multi_evidence_score,new_score,confidence_score,primary_evidence_type,secondary_evidence_type,support_status,N_support_total,N_support_matched,support_target,legacy_match_score,legacy_total_score,annotation_level,annotation_level_display,lcb_directly_supported,fa_directly_fragment_confirmed,fa_assignment_mode,evidence_summary,gate_summary,matched_fragment_names,score_status,rank_eligible,class_rule_status,policy_notes,primary_weight,secondary_weight,support_weight,primary_gate_pass,primary_matched_count,primary_theoretical_count,secondary_gate_pass,secondary_matched_count,secondary_theoretical_count,base_peak_intensity,non_precursor_base_peak_intensity,structural_normalization_status,precursor_mz,precursor_cluster_exclusion_da,minimum_group_fraction,minimum_normalized_intensity,scope,scenario,precursor,legacy_rank,multi_evidence_rank
GM3,GM3(d18:1/16:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,True,True,True,0.825,0.9,,1.0,0.825,0.9,1.0,87.5,87.5,87.5,HG,LCB,available,3,3,3,0.71,71.0,molecular_species,Molecular species level,True,False,inferred_from_total_composition_minus_lcb,HG: 2/2; LCB: 3/3; NL: 2/2; common: 3/3,"{""HG"": {""matched"": 2, ""required"": 1, ""theoretical"": 2}, ""LCB"": {""matched"": 3, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 2, ""required"": 1, ""theoretical"": 2}}",[C2H5NO+H]+; d18:1; NeuAc+H-H2O; d18:1+OH; NeuAc+H; d18:1+2OH; GM3(d34:1)-NeuAc-Gal-Glc [main 3; removed branches []; retained branches []]; GM3(d34:1)-NeuAc [main 1; removed branches []; retained branches []]; GM3(d34:1)-2H2O; GM3(d34:1)-1H2O,available,True,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure,60.0,20.0,20.0,True,2.0,2.0,True,3.0,3.0,100.0,100.0,non_precursor_base_peak,1200.0,4.1,0.5,0.01,synthetic_only,GM3_supported,1200.0,1,1.0
GM3,GM3(d18:1/16:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,False,True,True,0.0,0.9,,1.0,0.0,0.9,1.0,38.0,38.0,,HG,LCB,available,3,3,3,0.57,56.99999999999999,candidate,MS1 candidate,True,False,inferred_from_total_composition_minus_lcb,HG: 0/2; LCB: 3/3; NL: 2/2; common: 3/3,"{""HG"": {""matched"": 0, ""required"": 1, ""theoretical"": 2}, ""LCB"": {""matched"": 3, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 2, ""required"": 1, ""theoretical"": 2}}",[C2H5NO+H]+; d18:1; d18:1+OH; d18:1+2OH; GM3(d34:1)-NeuAc-Gal-Glc [main 3; removed branches []; retained branches []]; GM3(d34:1)-NeuAc [main 1; removed branches []; retained branches []]; GM3(d34:1)-2H2O; GM3(d34:1)-1H2O,available,False,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure,60.0,20.0,20.0,False,0.0,2.0,True,3.0,3.0,100.0,100.0,non_precursor_base_peak,1200.0,4.1,0.5,0.01,synthetic_only,GM3_missing_HG,1200.0,1,
Cer,Cer(d18:1/16:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,False,True,True,,0.825,0.9,1.0,0.825,0.9,1.0,87.5,87.5,87.5,LCB,diagnostic_nl,available,1,1,1,1.0,100.0,molecular_species,Molecular species level,True,False,inferred_from_total_composition_minus_lcb,HG: 0/0; LCB: 3/3; NL: 2/2; common: 1/1,"{""HG"": {""matched"": 0, ""required"": 0, ""theoretical"": 0}, ""LCB"": {""matched"": 3, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 2, ""required"": 1, ""theoretical"": 2}}",[C2H5NO+H]+; d18:1; d18:1+OH; d18:1+2OH; Cer(d34:1)-2H2O; Cer(d34:1)-1H2O,available,True,provisional_author_policy,Author-designated M+H-H2O and M+H-2H2O diagnostic NL; not universal subclass specificity,60.0,20.0,20.0,True,3.0,3.0,True,2.0,2.0,100.0,100.0,non_precursor_base_peak,600.0,4.1,0.5,0.01,synthetic_only,Cer_supported,600.0,1,1.0
HexCer,HexCer(d18:1/16:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,False,True,True,,0.9,0.825,1.0,0.825,0.9,1.0,87.5,87.5,87.5,diagnostic_nl,LCB,available,3,3,3,0.88,88.0,molecular_species,Molecular species level,True,False,inferred_from_total_composition_minus_lcb,HG: 0/0; LCB: 3/3; NL: 1/1; common: 3/3,"{""HG"": {""matched"": 0, ""required"": 0, ""theoretical"": 0}, ""LCB"": {""matched"": 3, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 1, ""required"": 1, ""theoretical"": 1}}",[C2H5NO+H]+; d18:1; d18:1+OH; d18:1+2OH; HexCer(d34:1)-Hex [main 1; removed branches []; retained branches []]; HexCer(d34:1)-2H2O; HexCer(d34:1)-1H2O,available,True,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation,60.0,20.0,20.0,True,1.0,1.0,True,3.0,3.0,100.0,100.0,non_precursor_base_peak,800.0,4.1,0.5,0.01,synthetic_only,HexCer_supported,800.0,1,1.0
LacCer,LacCer(d18:1/16:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,False,True,True,,0.9,0.825,1.0,0.825,0.9,1.0,87.5,87.5,87.5,diagnostic_nl,LCB,available,3,3,3,0.8,80.0,molecular_species,Molecular species level,True,False,inferred_from_total_composition_minus_lcb,HG: 0/0; LCB: 3/3; NL: 2/2; common: 3/3,"{""HG"": {""matched"": 0, ""required"": 0, ""theoretical"": 0}, ""LCB"": {""matched"": 3, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 2, ""required"": 1, ""theoretical"": 2}}",[C2H5NO+H]+; d18:1; d18:1+OH; d18:1+2OH; LacCer(d34:1)-Gal-Glc [main 2; removed branches []; retained branches []]; LacCer(d34:1)-Gal [main 1; removed branches []; retained branches []]; LacCer(d34:1)-2H2O; LacCer(d34:1)-1H2O,available,True,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation,60.0,20.0,20.0,True,2.0,2.0,True,3.0,3.0,100.0,100.0,non_precursor_base_peak,1000.0,4.1,0.5,0.01,synthetic_only,LacCer_supported,1000.0,1,1.0
So,So(d18:1),UNSPECIFIED,True,0.0,[M+H]+,synthetic_declared_existing_match,False,False,False,,,,1.0,,,1.0,,,,,,available,3,3,3,1.0,100.0,candidate,MS1 candidate,False,False,not_applicable_single_chain,HG: 0/0; LCB: 0/0; NL: 0/0; common: 3/3,"{""HG"": {""matched"": 0, ""required"": 0, ""theoretical"": 0}, ""LCB"": {""matched"": 0, ""required"": 0, ""theoretical"": 0}, ""NL"": {""matched"": 0, ""required"": 0, ""theoretical"": 0}}",[C2H5NO+H]+; So(d18:1)-2H2O; So(d18:1)-1H2O,UNSPECIFIED_policy,False,provisional_author_policy,UNSPECIFIED single-chain scoring policy; current so_fuc does not append LCB dictionary fragments,,,,,,,,,,100.0,100.0,non_precursor_base_peak,300.2898,4.1,0.5,0.01,synthetic_only,So_supported,300.2898,1,
SM,SM(d16:1/18:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,True,True,True,0.825,0.7,,0.3333333333333333,0.825,0.7,0.3333333333333333,70.16666666666667,70.16666666666667,70.16666666666667,HG,LCB,available,6,1,3,0.45,40.5,molecular_species,Molecular species level,True,False,inferred_from_total_composition_minus_lcb,HG: 1/1; LCB: 2/3; NL: 1/2; common: 1/5,"{""HG"": {""matched"": 1, ""required"": 1, ""theoretical"": 1}, ""LCB"": {""matched"": 2, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 1, ""required"": 1, ""theoretical"": 1}}",[C2H5NO+H]+; [phosphocholine+H]+; d16:1; d16:1+OH; SM(d34:1)-C5H14NO4P,available,True,provisional_author_policy,,60.0,20.0,20.0,True,1.0,1.0,True,2.0,3.0,1000.0,1000.0,non_precursor_base_peak,700.0,4.1,0.5,0.05,synthetic_only,balanced_vs_concentrated_LCB,700.0,2,2.0
SM,SM(d18:1/16:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,True,False,True,0.825,1.0,,0.3333333333333333,0.825,1.0,0.3333333333333333,76.16666666666667,76.16666666666667,76.16666666666667,HG,LCB,available,6,1,3,0.45,45.0,species,Species level,False,False,not_assigned,HG: 1/1; LCB: 2/3; NL: 1/2; common: 1/5,"{""HG"": {""matched"": 1, ""required"": 1, ""theoretical"": 1}, ""LCB"": {""matched"": 1, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 1, ""required"": 1, ""theoretical"": 1}}",[C2H5NO+H]+; [phosphocholine+H]+; d18:1; d18:1+OH; SM(d34:1)-C5H14NO4P,available,True,provisional_author_policy,,60.0,20.0,20.0,True,1.0,1.0,False,2.0,3.0,1000.0,1000.0,non_precursor_base_peak,700.0,4.1,0.5,0.05,synthetic_only,balanced_vs_concentrated_LCB,700.0,1,1.0
GM3,GM3(d18:1/16:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,True,True,True,0.825,0.9,,1.0,0.825,0.9,1.0,87.5,87.5,87.5,HG,LCB,available,3,3,3,0.71,71.0,molecular_species,Molecular species level,True,False,inferred_from_total_composition_minus_lcb,HG: 2/2; LCB: 3/3; NL: 2/2; common: 3/3,"{""HG"": {""matched"": 2, ""required"": 1, ""theoretical"": 2}, ""LCB"": {""matched"": 3, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 2, ""required"": 1, ""theoretical"": 2}}",[C2H5NO+H]+; d18:1; NeuAc+H-H2O; d18:1+OH; NeuAc+H; d18:1+2OH; GM3(d34:1)-NeuAc-Gal-Glc [main 3; removed branches []; retained branches []]; GM3(d34:1)-NeuAc [main 1; removed branches []; retained branches []]; GM3(d34:1)-2H2O; GM3(d34:1)-1H2O,available,True,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure,60.0,20.0,20.0,True,2.0,2.0,True,3.0,3.0,100.0,100.0,non_precursor_base_peak,1200.0,4.1,0.5,0.05,synthetic_only,GM3_supported,1200.0,1,1.0
GM3,GM3(d18:1/16:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,False,True,True,0.0,0.9,,1.0,0.0,0.9,1.0,38.0,38.0,,HG,LCB,available,3,3,3,0.57,56.99999999999999,candidate,MS1 candidate,True,False,inferred_from_total_composition_minus_lcb,HG: 0/2; LCB: 3/3; NL: 2/2; common: 3/3,"{""HG"": {""matched"": 0, ""required"": 1, ""theoretical"": 2}, ""LCB"": {""matched"": 3, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 2, ""required"": 1, ""theoretical"": 2}}",[C2H5NO+H]+; d18:1; d18:1+OH; d18:1+2OH; GM3(d34:1)-NeuAc-Gal-Glc [main 3; removed branches []; retained branches []]; GM3(d34:1)-NeuAc [main 1; removed branches []; retained branches []]; GM3(d34:1)-2H2O; GM3(d34:1)-1H2O,available,False,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure,60.0,20.0,20.0,False,0.0,2.0,True,3.0,3.0,100.0,100.0,non_precursor_base_peak,1200.0,4.1,0.5,0.05,synthetic_only,GM3_missing_HG,1200.0,1,
Cer,Cer(d18:1/16:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,False,True,True,,0.825,0.9,1.0,0.825,0.9,1.0,87.5,87.5,87.5,LCB,diagnostic_nl,available,1,1,1,1.0,100.0,molecular_species,Molecular species level,True,False,inferred_from_total_composition_minus_lcb,HG: 0/0; LCB: 3/3; NL: 2/2; common: 1/1,"{""HG"": {""matched"": 0, ""required"": 0, ""theoretical"": 0}, ""LCB"": {""matched"": 3, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 2, ""required"": 1, ""theoretical"": 2}}",[C2H5NO+H]+; d18:1; d18:1+OH; d18:1+2OH; Cer(d34:1)-2H2O; Cer(d34:1)-1H2O,available,True,provisional_author_policy,Author-designated M+H-H2O and M+H-2H2O diagnostic NL; not universal subclass specificity,60.0,20.0,20.0,True,3.0,3.0,True,2.0,2.0,100.0,100.0,non_precursor_base_peak,600.0,4.1,0.5,0.05,synthetic_only,Cer_supported,600.0,1,1.0
HexCer,HexCer(d18:1/16:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,False,True,True,,0.9,0.825,1.0,0.825,0.9,1.0,87.5,87.5,87.5,diagnostic_nl,LCB,available,3,3,3,0.88,88.0,molecular_species,Molecular species level,True,False,inferred_from_total_composition_minus_lcb,HG: 0/0; LCB: 3/3; NL: 1/1; common: 3/3,"{""HG"": {""matched"": 0, ""required"": 0, ""theoretical"": 0}, ""LCB"": {""matched"": 3, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 1, ""required"": 1, ""theoretical"": 1}}",[C2H5NO+H]+; d18:1; d18:1+OH; d18:1+2OH; HexCer(d34:1)-Hex [main 1; removed branches []; retained branches []]; HexCer(d34:1)-2H2O; HexCer(d34:1)-1H2O,available,True,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation,60.0,20.0,20.0,True,1.0,1.0,True,3.0,3.0,100.0,100.0,non_precursor_base_peak,800.0,4.1,0.5,0.05,synthetic_only,HexCer_supported,800.0,1,1.0
LacCer,LacCer(d18:1/16:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,False,True,True,,0.9,0.825,1.0,0.825,0.9,1.0,87.5,87.5,87.5,diagnostic_nl,LCB,available,3,3,3,0.8,80.0,molecular_species,Molecular species level,True,False,inferred_from_total_composition_minus_lcb,HG: 0/0; LCB: 3/3; NL: 2/2; common: 3/3,"{""HG"": {""matched"": 0, ""required"": 0, ""theoretical"": 0}, ""LCB"": {""matched"": 3, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 2, ""required"": 1, ""theoretical"": 2}}",[C2H5NO+H]+; d18:1; d18:1+OH; d18:1+2OH; LacCer(d34:1)-Gal-Glc [main 2; removed branches []; retained branches []]; LacCer(d34:1)-Gal [main 1; removed branches []; retained branches []]; LacCer(d34:1)-2H2O; LacCer(d34:1)-1H2O,available,True,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation,60.0,20.0,20.0,True,2.0,2.0,True,3.0,3.0,100.0,100.0,non_precursor_base_peak,1000.0,4.1,0.5,0.05,synthetic_only,LacCer_supported,1000.0,1,1.0
So,So(d18:1),UNSPECIFIED,True,0.0,[M+H]+,synthetic_declared_existing_match,False,False,False,,,,1.0,,,1.0,,,,,,available,3,3,3,1.0,100.0,candidate,MS1 candidate,False,False,not_applicable_single_chain,HG: 0/0; LCB: 0/0; NL: 0/0; common: 3/3,"{""HG"": {""matched"": 0, ""required"": 0, ""theoretical"": 0}, ""LCB"": {""matched"": 0, ""required"": 0, ""theoretical"": 0}, ""NL"": {""matched"": 0, ""required"": 0, ""theoretical"": 0}}",[C2H5NO+H]+; So(d18:1)-2H2O; So(d18:1)-1H2O,UNSPECIFIED_policy,False,provisional_author_policy,UNSPECIFIED single-chain scoring policy; current so_fuc does not append LCB dictionary fragments,,,,,,,,,,100.0,100.0,non_precursor_base_peak,300.2898,4.1,0.5,0.05,synthetic_only,So_supported,300.2898,1,
SM,SM(d16:1/18:0),structural_60_20_20,True,0.0,[M+H]+,synthetic_declared_existing_match,True,True,True,0.825,0.7,,0.3333333333333333,0.825,0.7,0.3333333333333333,70.16666666666667,70.16666666666667,70.16666666666667,HG,LCB,available,6,1,3,0.45,40.5,molecular_species,Molecular species level,True,False,inferred_from_total_composition_minus_lcb,HG: 1/1; LCB: 2/3; NL: 1/2; common: 1/5,"{""HG"": {""matched"": 1, ""required"": 1, ""theoretical"": 1}, ""LCB"": {""matched"": 2, ""required"": 2, ""theoretical"": 3}, ""NL"": {""matched"": 1, ""required"": 1, ""theoretical"": 1}}",[C2H5NO+H]+; [phosphocholine+H]+; d16:1; d16:1+OH; SM(d34:1)-C5H14NO4P,available,True,provisional_author_policy,,60.0,20.0,20.0,True,1.0,1.0,True,2.0,3.0,1000.0,1000.0,non_precursor_base_peak,700.0,4.1,0.5,0.1,synthetic_only,balanced_vs_concentrated_LCB,700.0,2,2.0
